Date,KGH,CPS,PEO,SPL,PKO,AGO,LTS,BIO,PXM,MBK,PKN,PGN,PBG,GTN,CEZ,ACP,GTC,OPL
2008-05-07,0.029334048965773407,0.004888803680981546,0.02682549786305355,0.04452806522420816,0.028051577707519648,-0.007332413978675456,0.016224188790560534,0.029850746268656803,0.025709828393135847,0.03773026315789485,0.00023302263648483645,0.0024120944453882576,0.027439125668538233,0.011981611893583821,0.00885078484523727,0.008776726636408494,0.04020903371833717,0.004516403919897716
2008-05-08,0.003690110903876498,-0.004006486692740618,-0.03746014877789594,-0.005628940258180726,-0.014019959598396081,-0.022125842848914168,-0.02290346560940204,-0.01449275362318836,0.009734136399586202,-0.02856056043363886,-0.0007321862415549107,-0.009557378160374164,-0.025154385851466343,-0.00787705987532017,-0.012147418673531751,-0.01664182138501169,0.0013119580173435175,-0.00856803529012562
2008-05-09,-0.03480728115571363,-0.023465185327076088,0.01021253105161457,0.01705789116159706,0.003180233624854756,-0.008766458766458762,-0.024019998550829702,-0.014705882352941124,-0.02066638549135391,-0.0026757162435554482,0.00309741881765202,-0.007185874623596988,0.0,0.019824646858256134,-0.0005819469922196951,0.005870841487279899,-0.01415697302825003,0.005903995892872604
2008-05-12,0.012317565469412983,0.0007846214201647772,0.011839708561020013,0.00630797773654912,0.0029567761994757635,0.008843989233404459,0.01818924236237418,0.0,0.005598621877691556,0.004547834053134414,0.0018593532107045174,0.024229682222375315,0.025803455938443243,0.019439270191526914,-0.004772212306484835,0.008768564695566416,0.028688126033258765,0.01752296699557676
2008-05-13,0.011288343558282232,0.011564092512740043,0.017641764176417718,0.004941002949852669,0.008023584475579826,0.002494802494802384,0.002989536621823552,-0.014925373134328401,-0.015386968491893471,0.0008142526788912363,0.0016901968582223592,0.0,-0.012253871770830038,0.00384182908545716,-0.023708376790211427,-0.014478187646004281,0.05079725215856801,-0.006938639023574722
2008-05-14,0.016682843969910266,0.03448944003100185,-0.02635768618432699,-0.013429221398693847,0.02288419211867221,0.012581224941241587,0.03006070299153074,0.015151515151515138,0.028427626060210542,0.007973184066649486,0.0271960297766749,0.056735202072887514,0.01400981996726669,-0.011388033230654293,0.035227598426222695,0.02940933270858026,0.002399088346428435,0.0065662092768752345
2008-05-15,-0.004574656403524502,-0.005525379284510357,0.002452761627906863,-0.022984230883665635,-0.010051288097624234,-0.07308164937192785,-0.032077069659115054,-0.05970149253731338,-0.030421122590780003,0.0,-0.025316455696202556,-0.01117727605642771,-0.01100781199560974,-0.023085638749881898,0.018222546626060154,0.015690264538931187,-0.043409322084604796,-0.0036798528058877844
2008-05-16,0.018382720242971606,-0.001600904039928408,0.0026280018124151816,0.0,0.00413875241923467,0.014177867795985843,0.008968609865470878,-0.031746031746031744,-0.01140364542763661,0.03438478674974976,0.007104854433098717,0.0,-0.012697065639586058,-0.003962692698013859,0.03557038684958602,-0.008409342542310183,0.0,0.006463527239150446
2008-05-19,0.007200737732258267,-0.003961516694963252,-0.00967100506146068,0.0028169014084507005,-0.01773217886371725,-0.04157588961510528,-0.0023486901535682003,0.049180327868852514,-0.0014497778057929178,0.01791622448342589,-0.007054731592072483,-0.015844390055390956,0.0006612007405448761,-0.015816796856047755,0.007733804363393437,0.006380433337763947,-0.02264268960125093,0.0024186822351959236
2008-05-20,-0.007149257801846831,0.015056818181818032,-0.01067810532079938,-0.00797145460066817,-0.005433798224959263,-0.0329986739912862,-0.013944223107569598,-0.015625,0.0,-0.02036060345884949,-0.024817421763986602,-0.013743455497382318,0.005781683626272072,-0.012028592556075912,-0.023094414704628363,-0.027499669792629744,-0.04662250807974144,-0.025542890423496112
2008-05-21,0.0,-0.0023323071182012045,-0.03247232472324735,-0.015152674676666367,0.023614399320099455,0.05116752860053264,0.004481175390266268,0.0793650793650793,-0.011551936369661897,-0.01511831726555668,0.0011521518129447017,0.013934970139349856,0.0,-0.00813332668030542,0.004970540455349948,-0.0021459227467811592,0.05974357253138218,-0.0023053278688524026
2008-05-23,-0.014421096003296219,0.0056106227791283825,-0.01363463005339427,-0.006449607584116834,-0.00640493417150978,-0.019232202758106554,-0.0005850733170000844,-0.014705882352941124,-0.036561611904077584,0.0,-0.024167343623070714,-0.020713350785340312,-0.0300233222744144,0.011469966797464703,0.003558675931287336,-0.038519123451749016,-0.02834610755685063,0.0003423192126656982
2008-05-26,-0.009137601528905748,-0.0032546029384414865,0.02232962783953596,-0.01947442515251052,-0.003700608809836581,-0.00657444706240029,-0.005671215835498233,-0.04477611940298509,0.03642449953599347,0.013030351183855204,0.015643426985778808,-0.014067564406723077,0.004944292051881183,-0.012981199641898034,-0.017922611820990197,-0.011296715741789365,-0.0023468822321457417,0.0029087175977415836
2008-05-27,-0.011994454824905132,0.0025188916876575096,-0.01219742813918312,0.03262343463348483,0.00020968128444764922,-0.0041696951149534645,0.0,-0.015625,-0.023440248153240972,0.02983529411764696,0.0019466548273625595,-0.011895885582593357,0.03241786015164272,0.0016628873771731278,0.0004895960832311808,-0.0014890753414850133,0.039500767798215985,-0.021837413631323077
2008-05-28,-0.005612493899463167,0.02819653824678947,-0.007179094476883363,-0.024022864205159977,0.039591506693420486,0.00837430854333121,-0.00570356196644084,0.031746031746031855,-0.01948392167136026,0.02342655212331679,0.03585793169268525,-0.007237180586520342,-0.0031661063420048707,-0.004125163497333828,-0.009689258624908215,0.009922854111101609,0.0,-0.0006104473707159164
