Date,BNP,ALR,BOS,MBK,MIL,SAN,ING,SPL,UCG,BHW,GTN,PEO,GNB,PKO
2012-12-17,-0.012931034482758674,0.005758930369296422,-0.020408163265306034,0.0,-0.002259808032802013,-0.008150340030109504,0.0,-0.0020209164856263007,-0.024782244815721777,-0.000992257140998154,0.003661239040370079,0.0017485914124732993,-0.011299435028248483,0.009508914607444519
2012-12-18,-0.017467248908296984,0.016316969648434432,-0.010763888888889017,0.0,0.004553202419034674,0.01847587145399343,-0.0011102504518460954,0.004151268161798116,0.04397438138677434,0.0020027680534071557,0.007295766535470927,0.0006788207913110966,0.011428571428571344,-0.008551775422941055
2012-12-19,-0.011555555555555541,0.0032110001378957698,0.026676026676026643,0.009695426500832438,-0.002277904328018332,0.007657125237679363,0.0011114844779900324,0.0,0.020444512102298695,0.0010075075563067415,0.036405222529305226,0.007461963368543323,0.039548022598870025,0.017532345771610558
2012-12-20,-0.008992805755395739,-0.00320072261713078,-0.012307692307692242,-0.009893307468477164,0.009109123101295413,5.099959200327575e-05,0.005551252259230699,-0.002924124023191199,0.009696716542598516,-0.010000000000000009,-0.003586206896551647,0.027318199307426072,0.0,0.014803894468503387
2012-12-21,-0.016333938294010864,0.0,0.03496019383869853,0.0,-0.006764400323213682,0.018103931868019618,0.0022082423931184536,0.015017444506244537,0.0,-0.015167912895185709,-0.01402731635289789,-0.0016853932584268705,-0.010869565217391242,-0.016161738446172857
2012-12-27,-0.011070110701107083,0.016074700076827764,0.0234113712374584,-0.007869644723093039,-0.002277904328018332,-0.0023600301280441993,0.004970408137121796,0.0,-0.021748444956636193,0.02565810286551562,0.0,0.013505908835115266,-0.005494505494505586,0.0107053865321316
2012-12-28,0.02332089552238803,-0.009480602570813623,-0.019607843137254943,-0.0040154033505578335,0.004566210045662267,-0.012482383732635216,-0.0016571064372212785,-0.004035070240111627,0.024754194922293804,-0.017012987012987035,0.007113440658929271,-0.016287247825282347,-0.011049723756906049,0.0029828032262975146
2013-01-02,0.02096627164995435,0.021530632217654944,0.018333333333333313,0.009252833680314598,0.05201762523191089,0.03299072449235396,-0.013189479060265463,-0.003751312959535791,0.0102726602800296,0.018298322103316167,-0.0070631970260223165,0.011853245531514567,-0.005586592178770999,0.012199192789730695
2013-01-03,-0.0071428571428571175,0.014063996934278622,0.0016366612111293755,-0.009168003667201496,-0.030090602473381356,-4.85366208805571e-05,0.001125674434251378,0.0025102921980117987,0.009482544823260053,-0.005968212779759896,-0.014320479221265336,-0.003997768687244441,0.0,0.0
2013-01-04,-0.008992805755395739,0.010014360214647411,-0.019607843137254943,-0.0014870625557648065,0.006636665302968359,0.011940588292398635,-0.017253857885077606,0.0012520032051281937,0.009407922308770633,-0.0010278666057560448,-0.014433577058209246,-0.0054139830112946985,0.0,-0.01741867785939133
2013-01-07,0.015426497277676976,0.005350394731919117,-0.01200000000000001,-0.022736298649722042,0.017633777376383053,0.001582885648503618,0.006220492115887932,0.01235432401340475,0.027788913068377052,-0.014061964101977797,-0.04412756527603823,-0.008352885969028612,0.0,-0.01553060352718616
2013-01-08,0.0,-0.02884257536285828,0.012145748987854255,-0.00033865014053990894,0.01730602826651273,-0.00023945213351850292,0.010129130071099945,0.020355731225296436,0.01202134031676172,-0.011214550755367036,-0.03467392399959679,-0.014385765663448735,0.0,-0.01465984813265142
