,Date,Open,High,Low,Close,Volume
0,1994-11-23,4.6615,4.6615,4.6615,4.6615,13118.0
1,1994-11-24,4.2885,4.2885,4.2885,4.2885,46858.0
2,1994-11-25,4.708,4.708,4.708,4.708,25977.0
3,1994-11-28,5.1742,5.1742,5.1742,5.1742,
4,1994-11-29,5.687,5.687,5.687,5.687,
5,1994-11-30,6.2464,6.2464,6.2464,6.2464,
6,1994-12-01,6.8523,6.8523,6.8523,6.8523,
7,1994-12-02,8.1109,8.1109,8.1109,8.1109,68691.0
8,1994-12-05,8.8567,8.8567,8.8567,8.8567,74531.0
9,1994-12-06,8.4838,8.4838,8.4838,8.4838,53885.0
10,1994-12-07,7.6448,7.6448,7.6448,7.6448,35096.0
11,1994-12-08,6.899,6.899,6.899,6.899,96342.0
12,1994-12-09,7.5516,7.5516,7.5516,7.5516,36138.0
13,1994-12-12,7.9245,7.9245,7.9245,7.9245,51499.0
14,1994-12-13,7.2252,7.2252,7.2252,7.2252,31058.0
15,1994-12-14,7.2719,7.2719,7.2719,7.2719,19479.0
16,1994-12-15,7.0854,7.0854,7.0854,7.0854,36477.0
17,1994-12-16,7.5516,7.5516,7.5516,7.5516,40031.0
18,1994-12-19,7.4583,7.4583,7.4583,7.4583,33654.0
19,1994-12-20,7.1786,7.1786,7.1786,7.1786,24079.0
20,1994-12-21,7.2719,7.2719,7.2719,7.2719,16585.0
21,1994-12-22,7.4583,7.4583,7.4583,7.4583,23362.0
22,1994-12-23,7.7846,7.7846,7.7846,7.7846,25602.0
23,1994-12-27,7.738,7.738,7.738,7.738,19540.0
24,1994-12-28,7.2719,7.2719,7.2719,7.2719,10871.0
25,1994-12-29,7.5516,7.5516,7.5516,7.5516,13196.0
26,1995-01-02,7.9245,7.9245,7.9245,7.9245,17729.0
27,1995-01-03,8.7169,8.7169,8.7169,8.7169,44569.0
28,1995-01-04,8.2974,8.2974,8.2974,8.2974,29889.0
29,1995-01-05,8.4838,8.4838,8.4838,8.4838,29585.0
